hubba_id;plataforma_id;tipo
MKP000172002987;241955797;PRODUTO
MKP000172002987;85297879;SKU
MKP000172002987;23719214;PRODUTO
MKP000172002987;1661208;PRODUTO
MKP000172002987;1661208;PRODUTO-SKU
MKP000172002987;1540632;SKU
MKP000172002987;1540632;SKU-ADTOOLS
MKP001777000005;158203032;PRODUTO
MKP001777000005;60738417;SKU
MKP001777000005;967155;PRODUTO-OCC
MKP001777000005;545563;PRODUCT-UPDATE
MKP001777000005;545563;PRODUTO
MKP001777000005;545563;PRODUTO-SKU
MKP001777000005;515276;SKU
MKP001777000005;515276;SKU-ADTOOLS
MKP001777000005;MKP001777000005;SUGGESTION
MKP001777000005;MKP001777000005;SUGGESTION-DELETADO
MKP002647003783;243179551;PRODUTO
MKP002647003783;85422712;SKU
MKP002647003783;23628353;PRODUTO
MKP002647003783;1686904;PRODUTO
MKP002647003783;1686904;PRODUTO-SKU
MKP002647003783;1566271;SKU
MKP002647003783;1566271;SKU-ADTOOLS
MKP003046000184;13003046000184;PRODUTO-OCC
MKP003046000184;5273397;PRODUTO
MKP003046000184;1394299;PRODUCT-UPDATE
MKP003046000184;1394299;PRODUTO
MKP003046000184;1394299;PRODUTO-SKU
MKP003046000184;1295952;SKU
MKP003046000184;MKP003046000184;SUGGESTION
MKP003066000633;243374837;PRODUTO
MKP003066000633;85446223;SKU
MKP003066000633;23419583;PRODUTO
MKP003066000633;1693871;PRODUTO
MKP003066000633;1693871;PRODUTO-SKU
MKP003066000633;1573238;SKU
MKP003082000283;13003082000283;PRODUTO-OCC
MKP003082000283;5170857;PRODUTO
MKP003082000283;1397497;PRODUCT-UPDATE
MKP003082000283;1397497;PRODUTO
MKP003082000283;1397497;PRODUTO-SKU
MKP003082000283;1298676;SKU
MKP003082000283;MKP003082000283;SUGGESTION
MKP003731000696;13003731000696;PRODUTO-OCC
MKP003731000696;6728401;PRODUTO
MKP003731000696;1297977;PRODUCT-UPDATE
MKP003731000696;1297977;PRODUTO
MKP003731000696;1297977;PRODUTO-SKU
MKP003731000696;1212121;SKU
MKP003731000696;MKP003731000696;SUGGESTION
